	2N/4N	t(7;7)	t(4;2)	t(17;3)	t(3;2)	t(2;8)	t(3;5)	f(10;10)	f(3;5)	f(19;15)	Chr19	Chr5	Chr15
140412#1_SVZRP1#3	4	1	0	0	0	0	0	0	0	0	2	5	
140412#1_SVZRP1#6	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#12	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#14	4	1	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#15	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#18	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#19	4	1	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#20	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#27	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#28	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#32	4	1	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#34	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#38	4	2	0	0	0	0	0	0	0	0	2	5	
140412#1_SVZRP1#39	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#40	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#43	4	2	0	0	0	0	0	0	0	0	2		
140412#1_SVZRP1#44	4	1	0	0	0	0	0	0	0	0	2	5	
140412#1_SVZRP1#45	4	0	0	0	0	0	0	0	0	0	2		
